filename,SHA256(),SHA3_224(),MD5()
file5.bin,2ff5915007c67870e8315cd072038877d63a7d4c532f1262a1f98c17de1ca8f4,3b2b459931dbea2fab6e95e6b9c658efce2897e91748fffcfde87d84,f3065ac7f52bb8a74501f43bf6097594
file7.bin,f09c91e874294c062b86aca881e020137dac5a49c5685e1ca87a36990155bc6f,ccf225528bcedae86f2bccdaaf2e6df876fcf518f4c025e444ffc180,3139bc23600c25618ea632d126bb6c64
file9.bin,c560beac07af784cda498352dbb4819d5df67e8cf7882f7b765fde4ae39f97e1,02d7e77fdc2d20ea42cce1d9ee34d3a9c403fd2faea5fc156058ba55,4d9f1eca66f34e45334c313d1a1a2bfa
file3.bin,7fbac8b66faa9d0a660d2167deb52318ea4277044e19ddc5588e4e7012cdda0e,4f41ff81b778b1496b9d31c21050aa0ce18014b06973028ae8cfd8b1,516d5f6126cd05491431b88d51fdfbe0e
file4.bin,e46a87690ba69d5ea1ecef08c4c58b25532715ed3999b9a601441082d74f2d65,7996f60220c6d1dd7a159e733ab8603765168d895bd3bbdd3bed6a17,c10cb2e01e9a4a2bc6c0be7190ad50a3
file2.bin,e7d27435d6a2ecbbdd35596122ea342f699c343ec52f85e9fbe263f714747d73,03c9505d3d5aa55e6b0e63f949631c5f524ddb26be129f56b0e0e0b0,9cf124b7a13aa8fe3d32aba37e9eed1c
file8.bin,9a8459b614e18531bf16e896b3c9c07077e5e19d2b82ea6c8602726dec09acff,28cd326c60b1792766cef36ce56d092f12e5c6c516954fb424bb1bd607,9f58fa5b21d7a0a67fc0d03c499917b5
file10.bin,9ab83d8e02e2f714e57015eece003b56107f119e525f802912b7a9dce0bd9ae7,9d5dc62787923ee8ec2fbae7a827f8128b0cefb88d7e8bcf3760ce79,924034a3b583da3558f0ef843475bee1
file6.bin,2f015e0f45b4a3b09773286ee2b569ba40f1ab2040fedb988b985511db1e8e39,b38ca3429b3b661a77d52e536bc1aecdbe31966da16bef5bb3a25d85,9bbf277c5c56cc665ed5b70f03d47071
file1.bin,40f982df103f9674e64c0a6eaad15d63ae93c30af9d2f25806fe66cb79ef1e27,1a00de60de8b422540154ba063218c9a39be0e2a580ee5ce7a06081f,69e5b51935789271be73efe5fc0c3ede
